3,1.94,0.1,0.07
8,3.77,0.1,0.08
10.5,4.67,0.1,0.08
13,5.58,0.1,0.09
18,7.45,0.1,0.11
20.5,8.5,0.1,0.12
23,9.47,0.1,0.13
